Nama File,Status Encoding,Codec Video,Codec Audio,Resolution,Frame Rate,Pixel Format,Profile,Audio Sample Rate,File Size,Duration,Faststart,Valid Meta & TikTok (Ya/Tidak),Catatan Error bila ada
Kucing_HD_119.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,10.28 MB,18.09s,Ya,Ya,None
Kucing_HD_120.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,4.08 MB,9.68s,Ya,Ya,None
Kucing_HD_121.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,7.86 MB,22.87s,Ya,Ya,None
Kucing_HD_122.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,6.17 MB,12.42s,Ya,Ya,None
Kucing_HD_123.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,58.55 MB,30.30s,Ya,Ya,None
Kucing_HD_124.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,2.50 MB,6.20s,Ya,Ya,None
Kucing_HD_125.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,4.71 MB,23.75s,Ya,Ya,None
Kucing_HD_126.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,5.36 MB,17.86s,Ya,Ya,None
Kucing_HD_127.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,8.41 MB,12.14s,Ya,Ya,None
Kucing_HD_128.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,2.54 MB,6.34s,Ya,Ya,None
Kucing_HD_129.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,12.85 MB,28.17s,Ya,Ya,None
Kucing_HD_130.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,5.15 MB,17.86s,Ya,Ya,None
Kucing_HD_131.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,25.59 MB,20.41s,Ya,Ya,None
Kucing_HD_132.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,5.36 MB,13.21s,Ya,Ya,None
